STD_ID,   number,Пол,Статус,Дата выпуска,Категория обучения,Форма обучения,Шифр,направление (специальность),   ,Образование,Дата выдачи,Что именно закончил
165240,2666.0,М,СТ,,ДОГ,Д,09.03.01,Информатика и вычислительная техника,4628.0,СР,2014-02-17 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
164632,3277.0,М,СТ,,БП,Д,08.03.01,Строительство,10423.0,СР,2016-06-24 00:00:00,"СРЕДНЯЯ ШКОЛА N   2, КРЕСТЦЫ"
165255,2674.0,М,СТ,,ДОГ,Д,08.03.01,Строительство,4633.0,СР,2015-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
162180,3093.0,Ж,СТ,,БП,Д,08.03.01,Строительство,4835.0,СР,2016-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
162143,2265.0,М,СТ,,БП,Д,05.03.02,География,4598.0,СР,2014-06-21 00:00:00,"СРЕДНЯЯ ШКОЛА N  14, НОВГОРОД"
162135,3190.0,М,СТ,,БП,Д,05.03.06,Экология и природопользование,5123.0,СР,2016-06-23 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
163048,3513.0,Ж,СТ,,БП,Д,46.03.01,История,10461.0,СР,2016-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N   7, БОРОВИЧИ"
164755,2906.0,М,СТ,,БП,Д,46.03.01,История,10162.0,СР,2016-06-24 00:00:00,"СРЕДНЯЯ ШКОЛА N   9, БОРОВИЧИ"
162118,2872.0,Ж,СТ,,БП,Д,44.03.05,Педагогическое образование (с двумя профилями подготовки),4731.0,СР,2016-06-24 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
162263,2716.0,Ж,СТ,,БП,Д,44.03.03,Специальное (дефектологическое) образование,4789.0,СР,2015-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
162267,3040.0,Ж,СТ,,БП,Д,44.03.03,Специальное (дефектологическое) образование,4965.0,СР,2016-06-26 00:00:00,"ГИМНАЗИЯ N  4, НОВГОРОД"
164758,1391.0,Ж,СТ,,БП,Д,47.03.01,Философия,9225.0,СР,2014-06-20 00:00:00,"ГИМНАЗИЯ N   2, НОВГОРОД"
164692,3223.0,Ж,СТ,,ДОГ,Д,40.03.01,Юриспруденция,5137.0,СР,2016-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N   2, НОВГОРОД"
162403,2798.0,М,СТ,,БП,Д,40.03.01,Юриспруденция,4718.0,СР,2016-06-26 00:00:00,"ГИМНАЗИЯ N  4, НОВГОРОД"
164652,2733.0,Ж,СТ,,ДОГ,Д,40.03.01,Юриспруденция,10126.0,СР,2016-06-23 00:00:00,"ГИМНАЗИЯ N   2, НОВГОРОД"
164686,2873.0,М,СТ,,ДОГ,Д,40.03.01,Юриспруденция,4880.0,СР,24.06.0216,"Гимназия ""ГАРМОНИЯ"""
162411,2711.0,Ж,СТ,,БП,Д,51.03.01,Культурология,4788.0,СР,2016-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
170139,442.0,М,СТ,,ДОГ,В,54.03.01,Дизайн,1163.0,ОО,2011-06-17 00:00:00,"СРЕДНЯЯ ШКОЛА N  33, НОВГОРОД"
170139,442.0,М,СТ,,ДОГ,В,54.03.01,Дизайн,10192.0,СП,2015-06-26 00:00:00,Политехнический колледж НовГУ
160997,3425.0,М,СТ,,БП,Д,11.03.04,Электроника и наноэлектроника,5084.0,СР,2016-06-24 00:00:00,"СРЕДНЯЯ ШКОЛА N   4, НОВГОРОД"
162276,2589.0,Ж,СТ,,БП,Д,44.03.02,Психолого-педагогическое образование,4556.0,СР,2016-06-26 00:00:00,"ГИМНАЗИЯ N  4, НОВГОРОД"
161035,3440.0,Ж,СТ,,БП,Д,37.03.01,Психология,10450.0,СР,2016-06-24 00:00:00,"СРЕДНЯЯ ШКОЛА N  34, НОВГОРОД"
170125,3057.0,М,СТ,,ДОГ,З,35.03.06,Агроинженерия,10331.0,СП,2013-06-27 00:00:00,НОВГОРОДСКИЙ АГРОТЕХНИЧЕСКИЙ ТЕХНИКУМ
170129,3134.0,М,СТ,,ДОГ,З,35.03.06,Агроинженерия,10348.0,СП,2014-06-27 00:00:00,НОВГОРОДСКИЙ АГРОТЕХНИЧЕСКИЙ ТЕХНИКУМ
170473,3580.0,М,СТ,,ДОГ,З,11.03.03,Конструирование и технология электронных средств,,,,
170474,2774.0,М,СТ,,ДОГ,З,11.03.03,Конструирование и технология электронных средств,4847.0,СП,2009-06-27 00:00:00,ТЕХНИКУМ ДРУГОЙ
170367,3126.0,М,СТ,,ДОГ,З,08.03.01,Строительство,5042.0,СР,2016-06-24 00:00:00,"СРЕДНЯЯ ШКОЛА N  16, НОВГОРОД"
162307,2562.0,Ж,СТ,,БП,Д,44.03.05,Педагогическое образование (с двумя профилями подготовки),10099.0,СР,2016-06-24 00:00:00,"СРЕДНЯЯ ШКОЛА N  34, НОВГОРОД"
